Dimensions, Total Time, Average Time
2,9.7852,4.8926e-05
4,13.0927,6.54635e-05
6,14.9522,7.4761e-05
8,17.3325,8.66625e-05
10,20.2331,0.000101165
12,22.0155,0.000110077
14,25.1396,0.000125698
16,28.557,0.000142785
18,29.7787,0.000148893
20,31.3877,0.000156938
22,34.9966,0.000174983
24,42.615,0.000213075
26,40.151,0.000200755
28,43.3664,0.000216832
30,45.12,0.0002256
32,47.5704,0.000237852
34,50.0474,0.000250237
36,52.7798,0.000263899
38,57.7135,0.000288568
40,58.3047,0.000291524
42,60.9062,0.000304531
44,63.3226,0.000316613
46,65.8656,0.000329328
48,68.3727,0.000341864
50,71.9867,0.000359933
52,74.6549,0.000373274
54,76.8891,0.000384445
56,79.343,0.000396715
58,82.2414,0.000411207
60,84.4241,0.00042212
62,88.3712,0.000441856
64,89.8016,0.000449008
66,93.8741,0.000469371
68,94.5132,0.000472566
70,97.7342,0.000488671
72,270.013,0.00135006
74,308.005,0.00154002
76,315.84,0.0015792
78,321.795,0.00160898
80,325.428,0.00162714
82,335.828,0.00167914
84,343.866,0.00171933
86,355.457,0.00177729
88,360.633,0.00180317
90,370.448,0.00185224
92,378.929,0.00189464
94,384.811,0.00192405
96,403.676,0.00201838
98,400.968,0.00200484
100,407.02,0.0020351
102,416.285,0.00208143
104,425.642,0.00212821
106,431.637,0.00215818
108,439.848,0.00219924
110,427.663,0.00213831
112,210.46,0.0010523
114,160.135,0.000800675
116,161.661,0.000808304
118,167.767,0.000838833
120,437.195,0.00218598
122,471.584,0.00235792
124,485.705,0.00242853
126,490.817,0.00245408
128,506.211,0.00253106
130,517.719,0.00258859
132,521.292,0.00260646
134,536.27,0.00268135
136,551.887,0.00275943
138,536.788,0.00268394
140,551.804,0.00275902
142,569.013,0.00284506
144,580.642,0.00290321
146,578.327,0.00289164
148,588.504,0.00294252
150,604.038,0.00302019
152,600.996,0.00300498
154,603.052,0.00301526
156,586.424,0.00293212
158,630.267,0.00315134
160,639.61,0.00319805
162,606.254,0.00303127
164,618.195,0.00309098
166,661.029,0.00330514
168,670.96,0.0033548
170,637.565,0.00318782
172,678.024,0.00339012
174,692.053,0.00346026
176,700.17,0.00350085
178,666.026,0.00333013
180,695.281,0.00347641
182,650.127,0.00325064
184,687.273,0.00343636
186,721.872,0.00360936
188,748.968,0.00374484
190,755.688,0.00377844
192,774.472,0.00387236
194,773.674,0.00386837
196,720.434,0.00360217
198,793.041,0.0039652
Total time: 167235
